household_size,year,age_of_respondent,job_type,gender_of_respondent,education_level,country,relationship_with_head,cellphone_access,location_type,marital_status
1.0,2016.0,41.0,Informally employed,Female,Primary education,Rwanda,Head of Household,No,Rural,Divorced/Seperated
3.0,2016.0,27.0,Informally employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,59.0,Remittance Dependent,Female,No formal education,Rwanda,Spouse,Yes,Rural,Married/Living together
5.0,2016.0,35.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,43.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,55.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
4.0,2016.0,40.0,Farming and Fishing,Female,Primary education,Rwanda,Head of Household,Yes,Rural,Widowed
4.0,2016.0,32.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,38.0,Informally employed,Female,Primary education,Rwanda,Head of Household,Yes,Rural,Widowed
3.0,2016.0,49.0,Informally employed,Female,Primary education,Rwanda,Head of Household,Yes,Rural,Widowed
4.0,2016.0,39.0,Formally employed Government,Male,Tertiary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,36.0,Informally employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
7.0,2016.0,23.0,Farming and Fishing,Male,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
7.0,2016.0,36.0,Farming and Fishing,Male,No formal education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,78.0,Government Dependent,Male,Primary education,Rwanda,Head of Household,Yes,Urban,Married/Living together
6.0,2016.0,45.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
2.0,2016.0,80.0,Other Income,Male,No formal education,Rwanda,Head of Household,No,Rural,Widowed
5.0,2016.0,54.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
1.0,2016.0,54.0,Informally employed,Male,No formal education,Rwanda,Head of Household,No,Rural,Widowed
3.0,2016.0,17.0,Remittance Dependent,Female,Primary education,Rwanda,Parent,Yes,Urban,Single/Never Married
7.0,2016.0,40.0,Informally employed,Male,No formal education,Rwanda,Head of Household,No,Rural,Married/Living together
2.0,2016.0,21.0,Informally employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
2.0,2016.0,23.0,Remittance Dependent,Female,Primary education,Rwanda,Spouse,Yes,Urban,Married/Living together
9.0,2016.0,58.0,Informally employed,Male,No formal education,Rwanda,Head of Household,No,Rural,Married/Living together
4.0,2016.0,41.0,Farming and Fishing,Female,Secondary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,20.0,Farming and Fishing,Female,Secondary education,Rwanda,Other relative,Yes,Rural,Single/Never Married
11.0,2016.0,41.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
2.0,2016.0,34.0,Informally employed,Male,No formal education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,28.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,No,Rural,Married/Living together
7.0,2016.0,18.0,Remittance Dependent,Female,Secondary education,Rwanda,Child,Yes,Rural,Single/Never Married
2.0,2016.0,24.0,Farming and Fishing,Female,Primary education,Rwanda,Head of Household,Yes,Rural,Widowed
6.0,2016.0,37.0,Self employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
8.0,2016.0,37.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,18.0,Farming and Fishing,Female,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
3.0,2016.0,29.0,Informally employed,Male,Primary education,Rwanda,Head of Household,No,Rural,Married/Living together
5.0,2016.0,35.0,Remittance Dependent,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
6.0,2016.0,39.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,27.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,29.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,29.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
6.0,2016.0,48.0,Self employed,Female,No formal education,Rwanda,Spouse,Yes,Rural,Married/Living together
7.0,2016.0,54.0,Informally employed,Male,No formal education,Rwanda,Head of Household,No,Rural,Married/Living together
3.0,2016.0,33.0,Informally employed,Female,Primary education,Rwanda,Head of Household,Yes,Urban,Single/Never Married
3.0,2016.0,26.0,Remittance Dependent,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,33.0,Formally employed Private,Male,Primary education,Rwanda,Head of Household,Yes,Urban,Married/Living together
4.0,2016.0,17.0,Farming and Fishing,Male,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
5.0,2016.0,38.0,Informally employed,Female,No formal education,Rwanda,Head of Household,No,Rural,Divorced/Seperated
5.0,2016.0,58.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,28.0,Other Income,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,24.0,Self employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
2.0,2016.0,35.0,Informally employed,Female,Primary education,Rwanda,Head of Household,No,Rural,Single/Never Married
3.0,2016.0,36.0,Informally employed,Female,Primary education,Rwanda,Child,No,Rural,Single/Never Married
6.0,2016.0,27.0,Informally employed,Female,Primary education,Rwanda,Child,No,Rural,Divorced/Seperated
4.0,2016.0,19.0,Farming and Fishing,Male,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
2.0,2016.0,66.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
4.0,2016.0,28.0,Farming and Fishing,Male,Tertiary education,Rwanda,Child,Yes,Rural,Single/Never Married
7.0,2016.0,27.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
3.0,2016.0,25.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
7.0,2016.0,18.0,Farming and Fishing,Male,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
4.0,2016.0,50.0,Informally employed,Female,No formal education,Rwanda,Head of Household,No,Rural,Divorced/Seperated
2.0,2016.0,60.0,Informally employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Widowed
8.0,2016.0,40.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
3.0,2016.0,22.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
3.0,2016.0,23.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
7.0,2016.0,44.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,No,Rural,Married/Living together
6.0,2016.0,48.0,Farming and Fishing,Female,Primary education,Rwanda,Parent,Yes,Rural,Widowed
5.0,2016.0,41.0,Informally employed,Female,Secondary education,Rwanda,Spouse,No,Rural,Married/Living together
8.0,2016.0,41.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
6.0,2016.0,36.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
4.0,2016.0,48.0,Informally employed,Female,No formal education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,29.0,Farming and Fishing,Female,No formal education,Rwanda,Child,Yes,Rural,Single/Never Married
4.0,2016.0,32.0,Farming and Fishing,Female,Primary education,Rwanda,Child,Yes,Rural,Divorced/Seperated
9.0,2016.0,16.0,Farming and Fishing,Male,Primary education,Rwanda,Parent,Yes,Rural,Single/Never Married
5.0,2016.0,35.0,Self employed,Male,Primary education,Rwanda,Head of Household,Yes,Urban,Married/Living together
2.0,2016.0,30.0,Farming and Fishing,Female,No formal education,Rwanda,Spouse,No,Rural,Married/Living together
4.0,2016.0,27.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Urban,Married/Living together
8.0,2016.0,43.0,Farming and Fishing,Female,Tertiary education,Rwanda,Spouse,Yes,Urban,Married/Living together
3.0,2016.0,25.0,Informally employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
4.0,2016.0,38.0,Farming and Fishing,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Single/Never Married
8.0,2016.0,21.0,Informally employed,Female,Primary education,Rwanda,Other non-relatives,Yes,Rural,Single/Never Married
1.0,2016.0,65.0,Farming and Fishing,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Widowed
5.0,2016.0,37.0,Informally employed,Male,No formal education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,35.0,Farming and Fishing,Female,No formal education,Rwanda,Spouse,Yes,Rural,Married/Living together
5.0,2016.0,79.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,40.0,Farming and Fishing,Male,No formal education,Rwanda,Head of Household,Yes,Rural,Married/Living together
3.0,2016.0,72.0,Informally employed,Male,Primary education,Rwanda,Head of Household,No,Rural,Married/Living together
9.0,2016.0,43.0,Informally employed,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Widowed
2.0,2016.0,74.0,Government Dependent,Female,No formal education,Rwanda,Head of Household,No,Rural,Widowed
4.0,2016.0,29.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,29.0,Informally employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
7.0,2016.0,45.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Urban,Married/Living together
5.0,2016.0,55.0,Farming and Fishing,Female,No formal education,Rwanda,Spouse,Yes,Urban,Married/Living together
9.0,2016.0,34.0,Self employed,Female,Tertiary education,Rwanda,Spouse,Yes,Urban,Married/Living together
10.0,2016.0,38.0,Informally employed,Female,Primary education,Rwanda,Spouse,No,Rural,Married/Living together
7.0,2016.0,23.0,Informally employed,Female,No formal education,Rwanda,Spouse,No,Rural,Married/Living together
6.0,2016.0,67.0,Self employed,Male,Primary education,Rwanda,Head of Household,No,Rural,Married/Living together
7.0,2016.0,53.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
4.0,2016.0,54.0,Other Income,Male,Primary education,Rwanda,Head of Household,Yes,Urban,Married/Living together
4.0,2016.0,22.0,Farming and Fishing,Female,Primary education,Rwanda,Head of Household,Yes,Rural,Single/Never Married
5.0,2016.0,38.0,Farming and Fishing,Female,Primary education,Rwanda,Head of Household,Yes,Rural,Widowed
4.0,2016.0,30.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
5.0,2016.0,33.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
6.0,2016.0,37.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
3.0,2016.0,25.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
6.0,2016.0,26.0,Informally employed,Male,Primary education,Rwanda,Child,No,Urban,Single/Never Married
4.0,2016.0,26.0,Self employed,Female,Primary education,Rwanda,Spouse,Yes,Urban,Married/Living together
2.0,2016.0,55.0,Farming and Fishing,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Widowed
7.0,2016.0,60.0,Farming and Fishing,Male,No formal education,Rwanda,Head of Household,Yes,Rural,Married/Living together
7.0,2016.0,40.0,Informally employed,Female,No formal education,Rwanda,Spouse,Yes,Rural,Married/Living together
6.0,2016.0,60.0,Farming and Fishing,Female,No formal education,Rwanda,Spouse,No,Rural,Married/Living together
3.0,2016.0,24.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,37.0,Farming and Fishing,Male,No formal education,Rwanda,Head of Household,No,Rural,Widowed
4.0,2016.0,18.0,Informally employed,Female,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
5.0,2016.0,47.0,Informally employed,Female,No formal education,Rwanda,Spouse,No,Rural,Married/Living together
4.0,2016.0,25.0,Informally employed,Female,Primary education,Rwanda,Spouse,No,Rural,Married/Living together
6.0,2016.0,27.0,Farming and Fishing,Female,Secondary education,Rwanda,Parent,Yes,Rural,Single/Never Married
2.0,2016.0,59.0,Informally employed,Female,No formal education,Rwanda,Head of Household,No,Rural,Widowed
7.0,2016.0,44.0,Farming and Fishing,Male,Secondary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
1.0,2016.0,20.0,Informally employed,Male,Secondary education,Rwanda,Other non-relatives,Yes,Urban,Single/Never Married
5.0,2016.0,31.0,Informally employed,Male,Primary education,Rwanda,Head of Household,No,Rural,Married/Living together
4.0,2016.0,42.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,No,Rural,Married/Living together
3.0,2016.0,25.0,Informally employed,Male,No formal education,Rwanda,Head of Household,Yes,Rural,Married/Living together
2.0,2016.0,47.0,Farming and Fishing,Female,Primary education,Rwanda,Head of Household,Yes,Rural,Widowed
5.0,2016.0,31.0,Farming and Fishing,Female,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
8.0,2016.0,17.0,Informally employed,Male,Vocational/Specialised training,Rwanda,Child,Yes,Rural,Single/Never Married
5.0,2016.0,41.0,Farming and Fishing,Female,Secondary education,Rwanda,Spouse,Yes,Rural,Married/Living together
3.0,2016.0,37.0,Government Dependent,Female,No formal education,Rwanda,Head of Household,No,Rural,Widowed
2.0,2016.0,56.0,Farming and Fishing,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Widowed
1.0,2016.0,68.0,Farming and Fishing,Male,No formal education,Rwanda,Head of Household,Yes,Rural,Divorced/Seperated
5.0,2016.0,22.0,Remittance Dependent,Male,Primary education,Rwanda,Parent,Yes,Rural,Single/Never Married
7.0,2016.0,35.0,Farming and Fishing,Male,Secondary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
6.0,2016.0,17.0,Remittance Dependent,Female,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
9.0,2016.0,19.0,Self employed,Female,Secondary education,Rwanda,Child,Yes,Urban,Single/Never Married
2.0,2016.0,22.0,Informally employed,Female,Primary education,Rwanda,Head of Household,Yes,Rural,Single/Never Married
6.0,2016.0,36.0,Informally employed,Male,Primary education,Rwanda,Head of Household,No,Rural,Married/Living together
5.0,2016.0,38.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
6.0,2016.0,16.0,Farming and Fishing,Female,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
2.0,2016.0,42.0,Formally employed Government,Female,Tertiary education,Rwanda,Head of Household,Yes,Urban,Single/Never Married
6.0,2016.0,20.0,Informally employed,Female,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
3.0,2016.0,42.0,Other Income,Female,Primary education,Rwanda,Head of Household,Yes,Urban,Single/Never Married
3.0,2016.0,80.0,Farming and Fishing,Male,Secondary education,Rwanda,Head of Household,No,Rural,Married/Living together
6.0,2016.0,27.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
6.0,2016.0,45.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,No,Rural,Married/Living together
3.0,2016.0,77.0,Remittance Dependent,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Widowed
6.0,2016.0,45.0,Formally employed Government,Male,Tertiary education,Rwanda,Head of Household,Yes,Urban,Married/Living together
5.0,2016.0,32.0,Informally employed,Female,Primary education,Rwanda,Spouse,No,Rural,Married/Living together
3.0,2016.0,48.0,Informally employed,Female,Secondary education,Rwanda,Spouse,Yes,Rural,Married/Living together
6.0,2016.0,32.0,Self employed,Male,Primary education,Rwanda,Head of Household,Yes,Urban,Married/Living together
5.0,2016.0,48.0,Farming and Fishing,Male,Secondary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
6.0,2016.0,47.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
4.0,2016.0,77.0,Farming and Fishing,Female,No formal education,Rwanda,Spouse,Yes,Rural,Married/Living together
7.0,2016.0,29.0,Remittance Dependent,Female,Primary education,Rwanda,Parent,Yes,Urban,Single/Never Married
6.0,2016.0,50.0,Informally employed,Female,No formal education,Rwanda,Spouse,Yes,Rural,Married/Living together
8.0,2016.0,20.0,Farming and Fishing,Female,Secondary education,Rwanda,Child,Yes,Rural,Single/Never Married
5.0,2016.0,45.0,Other Income,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,42.0,Farming and Fishing,Female,Primary education,Rwanda,Head of Household,Yes,Rural,Divorced/Seperated
3.0,2016.0,17.0,Farming and Fishing,Female,Secondary education,Rwanda,Child,Yes,Rural,Single/Never Married
2.0,2016.0,54.0,Farming and Fishing,Female,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
1.0,2016.0,68.0,Informally employed,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Widowed
4.0,2016.0,55.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
1.0,2016.0,29.0,Informally employed,Male,Primary education,Rwanda,Head of Household,Yes,Urban,Single/Never Married
3.0,2016.0,59.0,Farming and Fishing,Female,Primary education,Rwanda,Head of Household,No,Rural,Divorced/Seperated
4.0,2016.0,45.0,Farming and Fishing,Female,No formal education,Rwanda,Head of Household,No,Rural,Divorced/Seperated
4.0,2016.0,31.0,Informally employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,38.0,Remittance Dependent,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
7.0,2016.0,39.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,35.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
9.0,2016.0,18.0,Informally employed,Female,Primary education,Rwanda,Other relative,Yes,Rural,Single/Never Married
7.0,2016.0,35.0,Farming and Fishing,Female,No formal education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,33.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
2.0,2016.0,28.0,Self employed,Female,Secondary education,Rwanda,Spouse,Yes,Rural,Married/Living together
7.0,2016.0,35.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Urban,Married/Living together
7.0,2016.0,48.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,35.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
3.0,2016.0,34.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
2.0,2016.0,69.0,Farming and Fishing,Female,No formal education,Rwanda,Head of Household,No,Rural,Widowed
4.0,2016.0,25.0,Informally employed,Female,Tertiary education,Rwanda,Other relative,Yes,Urban,Single/Never Married
9.0,2016.0,40.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
3.0,2016.0,52.0,Other Income,Male,No formal education,Rwanda,Head of Household,No,Rural,Divorced/Seperated
2.0,2016.0,21.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Single/Never Married
5.0,2016.0,21.0,Remittance Dependent,Female,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
3.0,2016.0,22.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
9.0,2016.0,49.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
6.0,2016.0,26.0,Informally employed,Female,Primary education,Rwanda,Other relative,Yes,Urban,Single/Never Married
4.0,2016.0,28.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,51.0,Farming and Fishing,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Widowed
7.0,2016.0,46.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
6.0,2016.0,55.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
8.0,2016.0,33.0,Informally employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
3.0,2016.0,29.0,Self employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
6.0,2016.0,39.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,30.0,Formally employed Private,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
2.0,2016.0,17.0,Informally employed,Male,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
5.0,2016.0,28.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
2.0,2016.0,37.0,Self employed,Male,Primary education,Rwanda,Head of Household,Yes,Urban,Married/Living together
5.0,2016.0,50.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
3.0,2016.0,23.0,Self employed,Female,No formal education,Rwanda,Spouse,Yes,Rural,Married/Living together
3.0,2016.0,85.0,Informally employed,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Widowed
8.0,2016.0,34.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
7.0,2016.0,16.0,Informally employed,Female,Primary education,Rwanda,Head of Household,No,Rural,Single/Never Married
4.0,2016.0,38.0,Farming and Fishing,Male,Secondary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,59.0,Informally employed,Male,Primary education,Rwanda,Head of Household,No,Rural,Married/Living together
4.0,2016.0,37.0,Formally employed Private,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
2.0,2016.0,27.0,Informally employed,Female,Primary education,Rwanda,Head of Household,No,Rural,Married/Living together
3.0,2016.0,23.0,Informally employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
2.0,2016.0,74.0,Remittance Dependent,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Single/Never Married
7.0,2016.0,56.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
3.0,2016.0,79.0,Farming and Fishing,Female,Primary education,Rwanda,Head of Household,No,Rural,Widowed
7.0,2016.0,30.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,35.0,Informally employed,Male,No formal education,Rwanda,Head of Household,Yes,Rural,Married/Living together
4.0,2016.0,67.0,Remittance Dependent,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
5.0,2016.0,42.0,Farming and Fishing,Male,Secondary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
2.0,2016.0,66.0,Farming and Fishing,Female,Primary education,Rwanda,Head of Household,Yes,Rural,Widowed
4.0,2016.0,32.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,40.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
5.0,2016.0,53.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
5.0,2016.0,47.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
4.0,2016.0,50.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
6.0,2016.0,32.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,38.0,Informally employed,Male,Secondary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
8.0,2016.0,58.0,Informally employed,Male,No formal education,Rwanda,Head of Household,No,Rural,Married/Living together
7.0,2016.0,31.0,Self employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
1.0,2016.0,52.0,Farming and Fishing,Female,No formal education,Rwanda,Head of Household,No,Rural,Widowed
3.0,2016.0,60.0,Informally employed,Female,No formal education,Rwanda,Head of Household,Yes,Rural,Widowed
3.0,2016.0,18.0,Farming and Fishing,Male,Secondary education,Rwanda,Child,Yes,Rural,Single/Never Married
3.0,2016.0,21.0,Government Dependent,Female,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
6.0,2016.0,35.0,Farming and Fishing,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
7.0,2016.0,48.0,Farming and Fishing,Female,Vocational/Specialised training,Rwanda,Spouse,Yes,Rural,Married/Living together
1.0,2016.0,48.0,Farming and Fishing,Female,Secondary education,Rwanda,Head of Household,No,Rural,Widowed
5.0,2016.0,61.0,Other Income,Male,Tertiary education,Rwanda,Head of Household,Yes,Urban,Married/Living together
6.0,2016.0,38.0,Farming and Fishing,Female,No formal education,Rwanda,Spouse,Yes,Rural,Married/Living together
4.0,2016.0,30.0,Farming and Fishing,Female,Primary education,Rwanda,Child,Yes,Rural,Divorced/Seperated
5.0,2016.0,32.0,Informally employed,Male,Primary education,Rwanda,Head of Household,Yes,Rural,Married/Living together
4.0,2016.0,28.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
6.0,2016.0,17.0,Farming and Fishing,Male,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
7.0,2016.0,28.0,Informally employed,Female,Primary education,Rwanda,Spouse,No,Rural,Married/Living together
3.0,2016.0,76.0,Farming and Fishing,Male,No formal education,Rwanda,Head of Household,Yes,Rural,Married/Living together
5.0,2016.0,19.0,Remittance Dependent,Male,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
5.0,2016.0,75.0,Informally employed,Female,No formal education,Rwanda,Spouse,No,Rural,Married/Living together
7.0,2016.0,32.0,Farming and Fishing,Female,No formal education,Rwanda,Child,Yes,Rural,Single/Never Married
4.0,2016.0,71.0,Farming and Fishing,Female,Vocational/Specialised training,Rwanda,Head of Household,No,Rural,Widowed
4.0,2016.0,19.0,Informally employed,Male,Primary education,Rwanda,Child,No,Rural,Single/Never Married
3.0,2016.0,38.0,Other Income,Female,Primary education,Rwanda,Head of Household,Yes,Urban,Single/Never Married
5.0,2016.0,25.0,Formally employed Private,Male,Vocational/Specialised training,Rwanda,Other relative,Yes,Urban,Single/Never Married
1.0,2016.0,76.0,Farming and Fishing,Female,Primary education,Rwanda,Head of Household,No,Rural,Widowed
5.0,2016.0,32.0,Informally employed,Male,No formal education,Rwanda,Head of Household,Yes,Rural,Married/Living together
4.0,2016.0,22.0,Informally employed,Female,Secondary education,Rwanda,Child,Yes,Rural,Single/Never Married
6.0,2016.0,18.0,Remittance Dependent,Male,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
5.0,2016.0,39.0,Farming and Fishing,Female,Primary education,Rwanda,Spouse,Yes,Rural,Married/Living together
5.0,2016.0,64.0,Informally employed,Female,Primary education,Rwanda,Head of Household,Yes,Urban,Widowed
7.0,2016.0,34.0,Remittance Dependent,Female,Secondary education,Rwanda,Spouse,Yes,Urban,Married/Living together
8.0,2016.0,28.0,Informally employed,Female,Primary education,Rwanda,Child,Yes,Rural,Single/Never Married
7.0,2016.0,38.0,Informally employed,Female,Primary education,Rwanda,Spouse,Yes,Urban,Married/Living together
8.0,2016.0,19.0,Farming and Fishing,Female,Secondary education,Rwanda,Child,Yes,Rural,Single/Never Married
